metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.elb.http_code_elb_4xx.sum,guage,,,,[HTTP listener] The number of HTTP 4XX client error codes generated by the load balancer. Client errors are generated when a request is malformed or incomplete.,,elb,
aws.elb.http_code_elb_5xx,guage,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer.",,elb,
aws.elb.http_code_elb_5xx.minimum,guage,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer.",,elb,
aws.elb.http_code_elb_5xx.maximum,guage,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer.",,elb,
aws.elb.http_code_elb_5xx.average,guage,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer.",,elb,
aws.elb.http_code_elb_5xx.sum,guage,,,,"[HTTP listener] The number of HTTP 5XX server error codes generated by the load balancer. This count does not include any response codes generated by the registered instances. The metric is reported if there are no healthy instances registered to the load balancer, or if the request rate exceeds the capacity of the instances (spillover) or the load balancer.",,elb,
aws.elb.latency,guage,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers.",,elb,
aws.elb.latency.minimum,guage,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers.",,elb,
aws.elb.latency.maximum,guage,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers.",,elb,
aws.elb.latency.average,guage,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers.",,elb,
aws.elb.latency.sum,guage,,,,"[HTTP listener] The total time elapsed, in seconds, from the time the load balancer sent the request to a registered instance until the instance started to send the response headers.",,elb,
aws.elb.request_count,guage,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes).,,elb,
aws.elb.request_count.minimum,guage,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes).,,elb,
aws.elb.request_count.maximum,guage,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes).,,elb,
aws.elb.request_count.average,guage,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes).,,elb,
aws.elb.request_count.sum,guage,,,,The number of requests completed or connections made during the specified interval (1 or 5 minutes).,,elb,
aws.elb.spillover_count,guage,,,,The total number of requests that were rejected because the surge queue is full.,,elb,
aws.elb.spillover_count.minimum,guage,,,,The total number of requests that were rejected because the surge queue is full.,,elb,
aws.elb.spillover_count.maximum,guage,,,,The total number of requests that were rejected because the surge queue is full.,,elb,
aws.elb.spillover_count.average,guage,,,,The total number of requests that were rejected because the surge queue is full.,,elb,
aws.elb.spillover_count.sum,guage,,,,The total number of requests that were rejected because the surge queue is full.,,elb,
aws.elb.surge_queue_length,guage,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount .",,elb,
aws.elb.surge_queue_length.minimum,guage,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount .",,elb,
aws.elb.surge_queue_length.maximum,guage,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount .",,elb,
aws.elb.surge_queue_length.average,guage,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount .",,elb,
aws.elb.surge_queue_length.sum,guage,,,,"The total number of requests (HTTP listener) or connections (TCP listener) that are pending routing to a healthy instance. The maximum size of the queue is 1,024. Additional requests or connections are rejected when the queue is full. For more information, see SpilloverCount .",,elb,
aws.elb.un_healthy_host_count,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.un_healthy_host_count.minimum,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.un_healthy_host_count.maximum,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.un_healthy_host_count.average,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.un_healthy_host_count.sum,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.estimated_alb_active_connection_count,guage,,,,"The estimated number of concurrent TCP connections active from clients to the load
                                                   balancer and from the load balancer to targets.",,elb,
aws.elb.estimated_alb_consumed_lcus,guage,,,,"The estimated number of load balancer capacity units (LCU) used by an Application
                                                   Load Balancer. You pay for the number of LCUs that you use per hour. 
                                                   									For more information, see Elastic Load Balancing Pricing.",,elb,
aws.elb.estimated_alb_new_connection_count,guage,,,,"The estimated number of new TCP connections established from clients to the load balancer
                                                   and from the load balancer to targets.",,elb,
aws.elb.estimated_processed_bytes,guage,,,,The estimated number of bytes processed by an Application Load Balancer.,,elb,
aws.elb.httpcode_backend_2xx,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.httpcode_backend_2xx.minimum,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.httpcode_backend_2xx.maximum,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
aws.elb.httpcode_backend_2xx.average,guage,,,,The number of unhealthy instances registered with your load balancer. An instance is considered unhealthy after it exceeds the unhealthy threshold configured for health checks. An unhealthy instance is considered healthy again after it meets the healthy threshold configured for health checks.,,elb,
